location,Depth,Al (µM),Ba (µM),Ca (µM),Fe (µM),K (µM),Li (µM),Mg (µM),Mn (µM),Na (µM),P (µM),Si (µM),Sr (µM),Flouride (mM),Chloride (mM),Nitrite-N (mM),Bromide (mM),Nitrate-N (mM),Sulfate (mM),Thiosulfate (mM),Phosphate-P (mM)
W6,1.56,13.6357276,0.795376486,556.8308466,275.8945891,133.6511647,0.491873199,2089.336899,94.49318626,313.8637448,35.62377113,743.5048364,1.263448223,0.005263601,0.073342736,0.217367677,-12.502503,0.012902393,0.232156242,-8.91033474,0.155839178
W6,10.92,10.15398332,0.914799469,330.8298817,282.0067449,52.51379216,0.478717579,764.4791882,48.25864307,206.3358809,31.3895337,820.0700256,0.693159857,0,0.070521862,0.00652103,-12.502503,0.009676795,0.205088698,-8.91033474,0.015794511
W6,20.28,14.61312232,0.577919856,342.3158174,252.9143164,53.18134037,0.453991354,685.7848179,40.09428811,221.3962485,21.51782534,752.1215357,0.623426919,0,0.070521862,-21.71503097,-12.502503,0.008063996,0.194678104,-8.91033474,0.006317805
W6,42.12,14.04783575,0.526240288,347.855016,222.2520668,51.12413243,0.57704611,665.7066447,36.16986421,222.1277355,23.91588132,708.302178,0.753047249,0,0.070521862,0.00652103,-12.502503,0.016127992,0.209252936,-8.91033474,0.006317805
C5,1.56,16.49101299,0.662074222,767.5200027,205.0496911,118.5251874,0.621445725,2714.338613,155.724635,563.6582178,6.88164475,670.8207228,1.520276954,0.005263601,0.10719323,0.00652103,-12.502503,0.024191988,0.649621054,-8.91033474,0.396968717
C5,10.92,12.19805462,0.304181503,401.2924797,162.2455009,47.22796984,0.546013449,823.3011039,66.45794654,228.3312382,5.279963324,699.1513858,0.68423115,0.005263601,0.076163611,0.00652103,-12.502503,0.025804787,0.212376114,-8.91033474,0.510689199
C5,20.28,0.256507606,0.331619662,427.3416837,254.2394127,54.54116079,0.513895293,865.8163617,73.00836093,231.5341218,12.07131642,799.916919,0.686125694,0.005263601,0.076163611,0.00652103,-12.502503,0.020966389,0.299825102,-8.91033474,0.310625389
C5,39,18.47836989,0.300615805,332.8509407,93.81144239,51.9979982,0.471210375,794.2261539,51.8772677,232.2097867,4.986811392,539.2202243,0.563067793,0.005263601,0.093088858,0.00652103,-12.502503,0.008063996,0.332097943,-8.91033474,0.072654752
C6,1.56,10.6398945,0.468854146,463.254986,151.1242427,84.66438011,0.512199808,1660.23452,130.9057483,329.8346651,7.558132651,616.3788499,0.94086586,0.005263601,0.08180536,0.00652103,-12.502503,0.017740791,0.478887316,-8.91033474,0.044224632
C6,10.92,10.9793141,0.267708948,357.0371109,143.5956666,52.7064689,0.504481268,1004.333813,62.47102794,230.3408338,8.823399636,651.4034777,0.617366659,0.005263601,0.078984485,0.00652103,-12.502503,0.033868783,0.516365453,-8.91033474,0.768666217
C6,20.28,12.42206413,0.229335819,322.679109,94.67753007,50.09680728,0.488583093,828.951519,46.01732862,215.3906605,5.544165963,575.5148061,0.553610287,0.005263601,0.070521862,0.00652103,-12.502503,0.009676795,0.271716499,-8.91033474,0.0937141
C6,35.88,16.34229248,0.282071261,324.184507,102.9671412,47.77871844,0.501066282,754.4675305,73.3305423,199.7575726,6.627773456,547.8725298,0.600448908,0.005263601,0.073342736,0.004347354,-12.502503,0.008063996,0.25297743,-8.91033474,0.005264837
